state/ut,urban-percentage,rural-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,24.09400089206066,16.084827472763852,0.7208455633648518
ANDHRA PRADESH,14.11408417887546,4.189923150298052,0.3591470550018321
ARUNACHAL PRADESH,39.71307846702104,27.43112538190739,0.8679294567952576
ASSAM,31.445056111775223,11.076842742095227,0.5569001503327622
BIHAR,3.5711466968577015,1.3673991381290627,0.316181670500719
CHANDIGARH,30.943856500844163,15.01500465661757,0.5920836332028827
CHHATTISGARH,3.791763744650921,1.006953247204031,0.3034762297935386
DADRA & NAGAR HAVELI,19.8374793735795,21.65754666491912,0.8649336987406011
DAMAN & DIU,14.652914121333763,12.929664216173256,0.6387742931409097
GOA,52.87390798995163,47.44721612524944,0.7214047821843965
GUJARAT,21.51588713075813,8.737057679479829,0.4294518764772717
HARYANA,6.871713663593377,3.4099870261468053,0.27079068263655987
HIMACHAL PRADESH,9.653446653266565,4.546870572615183,0.27958068859592794
JAMMU & KASHMIR,24.393736299392817,13.819891392898159,0.5689967277343171
JHARKHAND,8.330164106893921,3.720611789875847,0.39608668117281787
KARNATAKA,24.481297311830097,5.466301977336934,0.42873022557348406
KERALA,11.474606157568601,7.786231403970034,0.38153786722509153
LAKSHADWEEP,15.842803782881665,14.192772788345945,0.38691627151461017
MADHYA PRADESH,3.464053867067808,1.0707111789615789,0.2617006026778432
MAHARASHTRA,26.86387583643903,9.865760769603337,0.4904343459936864
MANIPUR,28.85977888974938,18.602866979284148,0.7457949238509403
MEGHALAYA,25.464438659837096,5.199501231109044,0.34742927151913894
MIZORAM,6.094922617621391,3.4480002283821976,0.33264603755210753
NAGALAND,40.50941737336374,21.753333484898434,0.7477930060072066
NCT OF DELHI,8.264202742041478,1.3063129710148387,0.39906995838486314
ODISHA,30.90118932169141,9.611126638456655,0.4679623553712977
PUDUCHERRY,7.814220530446684,1.2725202429149798,0.3931570062031351
PUNJAB,34.60902462567599,24.393583742615395,0.5236891340259475
RAJASTHAN,2.33013854635286,1.1835006486945954,0.2366008673570947
SIKKIM,41.168656969097135,25.859137547346933,0.8288549720438244
TAMIL NADU,5.379815931523044,1.5274651157855887,0.3651525371087446
TRIPURA,9.059621219133957,4.109658229565443,0.5840667086626801
UTTAR PRADESH,2.9617128534012864,0.8162955315248313,0.2171387500297831
UTTARAKHAND,3.843817904082788,1.0034313141737177,0.2638684557722577
WEST BENGAL,7.62014865293035,1.067934633635984,0.35635272778447113
